country,total_population_2022,pct_under_20, pct_over_60,deaths_due_to_ncd,income_group,gdp_per_capita,    inactivity_adolescent_male,  inactivity_adolescent_female,    inactivity_adult_male,    inactivity_adult_female, inactivity_70_male,   inactivity_70_female
Russian Federation,144714000,0.23,0.23,0.89,UPPER MIDDLE,29916,0.81,0.88,0.17,0.18,0.2,0.24
Rwanda,13777000,0.5,0.05,0.5,LOW,2214,N/A,N/A,0.11,0.18,0.18,0.29
Saint Kitts and Nevis,47700,0.26,0.16,N/A,HIGH,25639,0.79,0.86,0.24,0.4,0.38,0.57
Saint Lucia,180000,0.25,0.14,0.82,UPPER MIDDLE,12709,0.83,0.86,0.27,0.52,0.4,0.68
Saint Vincent and the Grenadines,104000,0.29,0.16,0.79,UPPER MIDDLE,13403,0.83,0.89,N/A,N/A,N/A,N/A
Samoa,223000,0.47,0.08,0.82,UPPER MIDDLE,6765,0.88,0.87,0.08,0.17,0.14,0.28
San Marino,33700,0.18,0.28,N/A,HIGH,59572,N/A,N/A,N/A,N/A,N/A,N/A
Sao Tome and Principe,228000,0.51,0.06,0.58,LOWER MIDDLE,4273,N/A,N/A,0.1,0.21,0.17,0.34
Saudi Arabia,36409000,0.33,0.05,0.73,HIGH,46778,N/A,N/A,0.45,0.65,0.61,0.78
Senegal,17317000,0.52,0.05,0.45,LOWER MIDDLE,3504,0.85,0.92,0.18,0.28,0.19,0.33
Serbia,7222000,0.19,0.27,0.95,UPPER MIDDLE,19094,N/A,N/A,0.35,0.44,0.5,0.6
Seychelles,108000,0.3,0.13,0.79,HIGH,28339,0.79,0.87,0.18,0.2,0.28,0.32
Sierra Leone,8606000,0.5,0.05,0.34,LOW,1727,N/A,N/A,0.1,0.18,0.17,0.3
Singapore,5976000,0.16,0.23,0.75,HIGH,99681,0.7,0.83,0.34,0.39,0.5,0.55
Slovakia,5644000,0.21,0.23,0.89,HIGH,31356,0.66,0.78,0.31,0.38,0.46,0.54
Slovenia,2120000,0.2,0.28,0.9,HIGH,39725,0.75,0.86,0.28,0.37,0.42,0.53
Solomon Islands,725000,0.49,0.05,0.67,LOWER MIDDLE,2618,0.82,0.85,0.13,0.23,0.22,0.37
Somalia,17598000,0.58,0.04,0.3,LOW,1246,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,59894000,0.37,0.09,0.51,UPPER MIDDLE,13359,N/A,N/A,0.29,0.47,0.41,0.64
South Sudan,10914000,0.56,0.05,0.28,LOW,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Spain,47559000,0.19,0.27,0.91,HIGH,37756,0.7,0.84,0.23,0.31,0.36,0.46
Sri Lanka,21833000,0.31,0.17,0.83,UPPER MIDDLE,13227,0.82,0.89,0.2,0.37,0.32,0.53
Sudan,46875000,0.51,0.05,0.54,LOWER MIDDLE,4142,0.9,0.91,N/A,N/A,N/A,N/A
Suriname,619000,0.35,0.11,0.79,UPPER MIDDLE,16733,0.78,0.85,0.38,0.51,0.53,0.66
Sweden,10550000,0.23,0.26,0.89,HIGH,55065,0.82,0.87,0.22,0.25,0.34,0.39
Switzerland,8741000,0.2,0.26,0.9,HIGH,71745,0.83,0.89,0.22,0.26,0.34,0.41
Syrian Arab Republic,22126000,0.44,0.07,0.75,LOW,N/A,0.84,91,N/A,N/A,N/A,N/A
